lemma,count,per 10k,count in corpus (est)
አለ,5646,284.62,564600
ሆነ,4992,251.65,499200
ፖስት,4578,230.78,457800
ነው,3795,191.31,379500
ይህ,2632,132.68,263200
ፕረፕ,1713,86.35,171300
ድርግ,1621,81.72,162100
ኑም,1562,78.74,156200
ችንጅ,1535,77.38,153500
ገባ,1169,58.93,116900
ተገኘ,1131,57.02,113100
ቻለ,1081,54.49,108100
ሰጠ,1059,53.39,105900
ሰው,1008,50.81,100800
አየ,1006,50.71,100600
ስራ,985,49.66,98500
ጊዜ,943,47.54,94300
ኖረ,887,44.71,88700
ሰራ,876,44.16,87600
አወቀ,845,42.6,84500
ቤት,841,42.4,84100
ጀመረ,833,41.99,83300
ነገር,809,40.78,80900
ገለጸ,778,39.22,77800
መንግስት,771,38.87,77100
ነበረ,749,37.76,74900
አመት,732,36.9,73200
ን,708,35.69,70800
ህዝብ,679,34.23,67900
ምን,676,34.08,67600
ሀገር,667,33.62,66700
ለየ,655,33.02,65500
ደረሰ,648,32.67,64800
ፈለገ,647,32.62,64700
ደገመ,641,32.31,64100
መጣ,623,31.41,62300
ረዳ,606,30.55,60600
ቀረበ,601,30.3,60100
አንድ,568,28.63,56800
ተባለ,559,28.18,55900
ችግር,539,27.17,53900
አሁን,534,26.92,53400
ተመለከተ,528,26.62,52800
አገር,523,26.37,52300
ወጣ,523,26.37,52300
ተናገረ,523,26.37,52300
አለፈ,521,26.26,52100
መራ,521,26.26,52100
ልጅ,507,25.56,50700
ራስ,506,25.51,50600
አለም,505,25.46,50500
ጉዳይ,473,23.84,47300
ተደረገ,473,23.84,47300
ያዘ,455,22.94,45500
መሰለ,451,22.74,45100
ፈጠረ,450,22.69,45000
ጠቀመ,437,22.03,43700
ሄደ,435,21.93,43500
ከተማ,434,21.88,43400
ያ,431,21.73,43100
ኋላ,424,21.37,42400
ጠበቀ,414,20.87,41400
ትምህርት,399,20.11,39900
አቶ,395,19.91,39500
ነገደ,371,18.7,37100
ምክንያት,367,18.5,36700
በዛ,365,18.4,36500
ፊት,364,18.35,36400
ግኝ*,364,18.35,36400
ሁኔታ,364,18.35,36400
ቀረ,363,18.3,36300
ቀጠለ,362,18.25,36200
ደረጃ,356,17.95,35600
አካባቢ,350,17.64,35000
በላ,343,17.29,34300
ሰማ,341,17.19,34100
ተነሳ,336,16.94,33600
ተቻለ,336,16.94,33600
ጨመረ,323,16.28,32300
ክልል,322,16.23,32200
ወቅት,321,16.18,32100
ፈጸመ,320,16.13,32000
ልማት,319,16.08,31900
ጠየቀ,317,15.98,31700
ህግ,306,15.43,30600
አምላክ,305,15.38,30500
መለሰ,301,15.17,30100
ሀይል,295,14.87,29500
ወሰደ,294,14.82,29400
ተሳተፈ,291,14.67,29100
ተከተለ,288,14.52,28800
ህይወት,280,14.12,28000
አሰበ,279,14.06,27900
ቦታ,278,14.01,27800
አደገ,276,13.91,27600
አይነት,276,13.91,27600
ዘመን,275,13.86,27500
ቀን,272,13.71,27200
አገልግሎት,263,13.26,26300
አበባ,259,13.06,25900
መካከል,256,12.91,25600
ድርጅት,255,12.85,25500
ቃል,251,12.65,25100
ጠቀሰ,250,12.6,25000
ወጣት,249,12.55,24900
ሁለት,248,12.5,24800
ተቋም,246,12.4,24600
ውድድር,245,12.35,24500
ዘርፍ,242,12.2,24200
መጽሀፍ,241,12.15,24100
ጥያቄ,241,12.15,24100
ሀሳብ,239,12.05,23900
ወር,238,12.0,23800
ስርአት,234,11.8,23400
አንዳንድ,231,11.65,23100
አካል,231,11.65,23100
ቈየ,228,11.49,22800
ሙሉ,223,11.24,22300
ላቀ,217,10.94,21700
ብር,214,10.79,21400
እድል,213,10.74,21300
ለም,210,10.59,21000
ሴት,209,10.54,20900
ተግባር,207,10.44,20700
ቡድን,207,10.44,20700
ውሀ,206,10.38,20600
ዋና,206,10.38,20600
ወሰነ,204,10.28,20400
ረገጠ,201,10.13,20100
ውጤት,200,10.08,20000
እድገት,200,10.08,20000
ተከናወነ,197,9.93,19700
በአል,196,9.88,19600
ውጥእ,195,9.83,19500
ሰፋ,193,9.73,19300
ግጥም,192,9.68,19200
ዛር,192,9.68,19200
ገዛ,191,9.63,19100
ግንባታ,191,9.63,19100
በቃ,190,9.58,19000
ምርጫ,188,9.48,18800
አስተዳደር,187,9.43,18700
ጥር,187,9.43,18700
ክፍል,186,9.38,18600
አቅም,185,9.33,18500
ተቀመጠ,185,9.33,18500
አስቻለ,184,9.28,18400
ቆመ,182,9.17,18200
ተካሄደ,180,9.07,18000
አነሰ,179,9.02,17900
ንጉስ,179,9.02,17900
ታሪክ,178,8.97,17800
አባል,177,8.92,17700
ተዘጋጀ,177,8.92,17700
ጨረሰ,175,8.82,17500
ንግድ,174,8.77,17400
እቅድ,174,8.77,17400
ቍጥር,172,8.67,17200
ገንዘብ,171,8.62,17100
መሬት,170,8.57,17000
ቀዳ,169,8.52,16900
ለውጥ,169,8.52,16900
ወለደ,168,8.47,16800
ውጭ,168,8.47,16800
እጅ,168,8.47,16800
በለጠ,167,8.42,16700
እርስ,167,8.42,16700
ዜጋ,166,8.37,16600
ፓርት,166,8.37,16600
ተቋቋመ,165,8.32,16500
ምክር,164,8.27,16400
ምሳሌ,164,8.27,16400
ባለሙያ,164,8.27,16400
ልብ,163,8.22,16300
እርካታ,163,8.22,16300
ፓርቲ,161,8.12,16100
ገነባ,160,8.07,16000
ቤተሰብ,160,8.07,16000
ሰላም,157,7.91,15700
ተሻለ,157,7.91,15700
መሰረተ,157,7.91,15700
ድጋፍ,156,7.86,15600
ጠራ,155,7.81,15500
ዋለ,154,7.76,15400
መዘገበ,154,7.76,15400
አለበ,154,7.76,15400
መረጠ,154,7.76,15400
ተቀበለ,152,7.66,15200
ስም,152,7.66,15200
ሰበሰበ,151,7.61,15100
እግር,151,7.61,15100
ከፈለ,151,7.61,15100
ጥናት,149,7.51,14900
ሞላ,149,7.51,14900
ቀፈፈ,149,7.51,14900
አመነ,149,7.51,14900
ጠቀለለ,148,7.46,14800
ፈታ,146,7.36,14600
ፖለቲካ,146,7.36,14600
መብት,145,7.31,14500
ነጻ,145,7.31,14500
